page,count
1,0
2,0
3,0
4,0
5,0
6,0
7,4
8,0
9,0
10,0
11,4
12,7
13,2
14,0
15,1
16,3
17,2
18,0
19,0
20,4
21,2
22,4
23,0
24,2
25,0
26,6
27,7
28,6
29,8
30,1
31,0
32,2
33,2
34,0
35,2
36,1
37,2
38,2
39,5
40,2
41,1
42,0
43,0
44,0
45,4
46,6
47,1
48,2
49,2
50,5
51,3
52,6
53,1
54,9
55,5
56,2
57,5
58,2
59,2
60,4
61,1
62,6
63,0
64,4
65,1
66,0
67,1
68,2
69,1
70,4
71,6
72,4
73,4
74,3
75,7
76,4
77,8
78,2
79,0
80,4
81,2
82,5
83,7
84,3
85,5
86,2
87,1
88,0
89,3
90,4
91,3
92,2
93,0
94,0
95,5
96,1
97,2
98,2
99,0
100,2
101,6
102,1
103,1
104,0
105,0
106,2
107,3
108,5
109,3
110,3
111,1
112,9
113,4
114,5
115,5
116,6
117,3
118,4
119,1
120,4
121,2
122,5
123,4
124,7
125,1
126,2
127,1
128,1
129,3
130,2
131,1
132,3
133,2
134,1
135,0
136,24
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,2
146,0
147,6
148,4
149,3
150,4
151,1
152,4
153,2
154,2
155,6
156,0
157,1
158,2
159,1
160,0
161,1
162,2
163,3
164,3
165,3
166,1
167,2
168,5
169,1
170,3
171,6
172,1
173,1
174,2
175,2
176,2
177,3
178,1
179,2
180,2
181,5
182,2
183,2
184,2
185,0
186,1
187,1
188,6
189,4
190,1
191,3
192,1
193,1
194,3
195,0
196,0
197,3
198,2
199,1
200,0
201,1
202,2
203,3
204,6
205,3
206,6
207,4
208,1
209,5
210,4
211,8
212,0
213,2
214,8
215,2
216,2
217,4
218,3
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,4
232,6
233,2
234,2
235,4
236,2
237,4
238,2
239,1
240,4
241,3
242,3
243,5
244,2
245,1
246,4
247,3
248,6
249,1
250,3
251,3
252,2
253,5
254,3
255,0
256,2
257,4
258,2
259,3
260,3
261,3
262,4
263,4
264,1
265,2
266,1
267,3
268,0
269,0
270,2
271,3
272,1
273,0
274,1
275,1
276,1
277,1
278,0
279,0
280,2
281,3
282,3
283,3
284,2
285,3
286,2
287,1
288,3
289,2
290,3
291,1
292,1
293,1
294,4
295,2
296,2
297,1
298,1
299,0
300,2
301,4
302,3
303,4
304,2
305,0
306,1
307,2
308,1
309,3
310,3
311,7
312,2
313,1
314,4
315,3
316,5
317,4
318,0
319,6
320,0
321,3
322,3
323,3
324,2
325,1
326,3
327,2
328,2
329,2
330,0
331,3
332,2
333,0
334,0
335,0
336,1
337,3
338,1
339,4
340,4
341,1
342,2
343,5
344,5
345,3
346,4
347,2
348,1
349,2
350,1
351,2
352,2
353,4
354,4
355,4
356,1
357,2
358,3
359,3
360,2
361,0
362,1
363,5
364,2
365,1
366,1
367,8
368,1
369,4
370,3
371,1
372,2
373,4
374,1
375,0
376,2
377,5
378,2
379,3
380,4
381,1
382,6
383,3
384,4
385,4
386,3
387,0
388,0
389,2
390,0
391,1
392,0
393,1
394,3
395,6
396,1
397,4
398,1
399,3
400,4
401,10
402,8
403,3
404,5
405,7
406,4
407,0
408,2
409,2
410,4
411,3
412,3
413,3
414,2
415,2
416,4
417,3
418,2
419,5
420,4
421,2
422,0
423,3
424,1
425,2
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
