year,members
1919-01,0
1919-02,0
1919-03,0
1919-04,0
1919-05,0
1919-06,0
1919-07,0
1919-08,0
1919-09,0
1919-10,0
1919-11,33
1919-12,53
1920-01,61
1920-02,64
1920-03,70
1920-04,66
1920-05,76
1920-06,96
1920-07,88
1920-08,23
1920-09,36
1920-10,73
1920-11,102
1920-12,132
1921-01,90
1921-02,84
1921-03,117
1921-04,121
1921-05,122
1921-06,123
1921-07,116
1921-08,88
1921-09,98
1921-10,132
1921-11,119
1921-12,168
1922-01,177
1922-02,189
1922-03,147
1922-04,150
1922-05,141
1922-06,143
1922-07,133
1922-08,103
1922-09,110
1922-10,172
1922-11,162
1922-12,201
1923-01,197
1923-02,198
1923-03,190
1923-04,158
1923-05,160
1923-06,150
1923-07,133
1923-08,99
1923-09,178
1923-10,221
1923-11,177
1923-12,192
1924-01,200
1924-02,185
1924-03,219
1924-04,237
1924-05,232
1924-06,198
1924-07,197
1924-08,151
1924-09,186
1924-10,224
1924-11,218
1924-12,206
1925-01,214
1925-02,222
1925-03,230
1925-04,230
1925-05,226
1925-06,231
1925-07,200
1925-08,164
1925-09,182
1925-10,264
1925-11,275
1925-12,297
1926-01,288
1926-02,250
1926-03,291
1926-04,345
1926-05,250
1926-06,209
1926-07,235
1926-08,198
1926-09,222
1926-10,283
1926-11,248
1926-12,210
1927-01,172
1927-02,148
1927-03,152
1927-04,180
1927-05,193
1927-06,150
1927-07,142
1927-08,159
1927-09,198
1927-10,182
1927-11,186
1927-12,199
1928-01,116
1928-02,119
1928-03,126
1928-04,180
1928-05,183
1928-06,206
1928-07,191
1928-08,132
1928-09,141
1928-10,225
1928-11,236
1928-12,204
1929-01,220
1929-02,216
1929-03,212
1929-04,274
1929-05,270
1929-06,201
1929-07,188
1929-08,136
1929-09,168
1929-10,214
1929-11,174
1929-12,183
1930-01,127
1930-02,80
1930-03,123
1930-04,100
1930-05,78
1930-06,57
1930-07,78
1930-08,80
1930-09,46
1930-10,70
1930-11,72
1930-12,80
1931-01,85
1931-02,69
1931-03,71
1931-04,58
1931-05,75
1931-06,55
1931-07,50
1931-08,43
1931-09,46
1931-10,81
1931-11,56
1931-12,77
1932-01,80
1932-02,74
1932-03,84
1932-04,78
1932-05,66
1932-06,56
1932-07,67
1932-08,59
1932-09,70
1932-10,106
1932-11,129
1932-12,100
1933-01,125
1933-02,139
1933-03,134
1933-04,119
1933-05,161
1933-06,157
1933-07,99
1933-08,60
1933-09,64
1933-10,112
1933-11,167
1933-12,193
1934-01,197
1934-02,168
1934-03,182
1934-04,171
1934-05,166
1934-06,146
1934-07,153
1934-08,120
1934-09,117
1934-10,125
1934-11,157
1934-12,158
1935-01,199
1935-02,215
1935-03,181
1935-04,198
1935-05,221
1935-06,178
1935-07,167
1935-08,126
1935-09,157
1935-10,237
1935-11,279
1935-12,238
1936-01,260
1936-02,265
1936-03,301
1936-04,285
1936-05,292
1936-06,238
1936-07,210
1936-08,130
1936-09,128
1936-10,167
1936-11,253
1936-12,280
1937-01,202
1937-02,220
1937-03,239
1937-04,207
1937-05,223
1937-06,180
1937-07,194
1937-08,80
1937-09,145
1937-10,175
1937-11,223
1937-12,230
1938-01,227
1938-02,221
1938-03,278
1938-04,231
1938-05,270
1938-06,205
1938-07,226
1938-08,1
1938-09,150
1938-10,209
1938-11,275
1938-12,279
1939-01,368
1939-02,362
1939-03,405
1939-04,358
1939-05,357
1939-06,327
1939-07,452
1939-08,47
1939-09,68
1939-10,170
1939-11,203
1939-12,220
1940-01,270
1940-02,318
1940-03,319
1940-04,259
1940-05,209
1940-06,102
1940-07,72
1940-08,88
1940-09,114
1940-10,212
1940-11,193
1940-12,205
1941-01,184
1941-02,195
1941-03,233
1941-04,266
1941-05,276
1941-06,241
1941-07,260
1941-08,82
1941-09,225
1941-10,295
1941-11,256
1941-12,173
1942-01,41
1942-02,16
1942-03,21
1942-04,17
1942-05,19
1942-06,14
1942-07,26
1942-08,9
1942-09,11
1942-10,6
1942-11,0
1942-12,0
1943-01,0
1943-02,6
1943-03,1
1943-04,2
1943-05,19
1943-06,13
1943-07,15
1943-08,0
1943-09,26
1943-10,8
1943-11,12
1943-12,0
1944-01,1
1944-02,3
1944-03,7
1944-04,3
1944-05,0
1944-06,5
1944-07,3
1944-08,5
1944-09,13
1944-10,10
1944-11,20
1944-12,11
